Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
35,1,32,3,10,11,1,0,677,8,0
64,1,30,6,5,27,0,1,215,3,1
22,0,33,14,7,25,2,1,845,26,1
63,0,51,16,2,5,0,2,600,7,0
62,1,33,30,10,10,1,0,358,11,0
43,0,9,30,7,4,1,1,274,6,0
51,0,3,26,8,23,1,1,504,2,1
54,0,16,9,0,22,2,0,726,7,1
56,1,60,22,4,17,1,1,586,16,0
33,0,42,13,6,19,1,2,552,8,1
32,0,24,2,0,20,1,2,396,27,1
63,0,5,11,5,18,1,0,827,7,1
18,1,5,24,6,30,2,1,752,5,0
56,0,46,25,8,25,1,0,869,30,1
21,1,37,26,5,16,0,2,872,23,0
42,0,4,25,7,16,2,1,797,10,0
56,0,57,19,10,4,1,1,828,1,0
39,1,49,28,2,6,2,0,312,28,0
58,1,10,18,1,29,0,0,754,10,0
46,1,43,30,0,24,1,0,721,27,0
54,1,22,17,8,15,2,1,175,6,0
64,0,36,1,6,27,1,0,834,16,1
26,0,54,13,3,25,2,1,367,15,1
54,1,47,9,8,23,1,1,143,17,1
56,0,30,30,10,27,2,2,794,9,1
44,0,40,3,3,28,1,0,949,23,1
46,0,51,2,5,6,1,0,548,16,0
59,0,59,18,7,12,1,1,187,23,0
65,0,17,22,9,28,0,1,463,30,1
54,0,53,2,4,17,2,1,545,26,0
27,0,17,28,1,23,1,1,378,29,1
20,0,33,6,8,1,0,1,411,15,0
30,0,52,10,0,18,2,0,874,4,1
57,1,17,11,1,1,1,1,106,10,0
25,0,52,11,10,1,1,1,948,12,0
53,0,38,1,4,21,2,0,818,27,1
46,1,49,26,0,6,1,1,147,18,0
42,0,2,20,9,22,1,0,990,5,0
26,0,32,5,7,26,2,2,876,9,1
61,1,28,29,6,3,2,1,209,3,0
43,0,4,25,4,26,1,0,773,9,1
49,1,1,15,7,18,1,1,789,8,0
33,1,33,12,7,28,2,2,413,5,1
58,0,40,2,6,5,0,1,491,25,0
53,0,14,17,1,5,0,0,844,18,0
63,0,13,3,3,10,2,1,263,6,0
44,0,58,26,4,27,0,0,840,19,1
54,0,37,28,0,12,2,2,955,3,0
39,1,13,21,4,14,2,0,631,21,0
62,1,54,2,5,5,1,2,761,13,1
43,1,42,28,1,0,1,0,682,15,0
52,0,1,28,8,2,2,2,123,8,0
19,1,27,4,1,0,0,2,240,2,0
44,0,40,20,8,22,0,1,726,5,1
65,0,44,8,3,26,1,0,383,1,1
35,0,58,6,9,28,1,0,882,17,1
19,1,56,9,2,6,1,1,107,20,0
53,1,6,8,5,27,2,2,960,25,0
32,0,17,27,6,12,2,0,321,26,0
29,1,52,7,1,29,1,1,529,27,0
33,1,15,11,7,22,0,2,289,10,0
52,1,4,12,4,18,0,2,295,13,0
44,0,51,16,5,30,1,2,144,8,1
47,0,2,16,4,23,0,0,737,2,1
44,0,59,4,6,22,1,2,590,3,1
48,1,10,1,1,15,1,1,271,2,0
51,0,34,11,0,24,0,0,173,6,1
65,0,57,2,9,15,2,2,946,8,1
53,1,32,7,7,14,2,0,323,6,0
57,1,47,14,6,20,2,2,868,30,1
59,1,17,4,5,22,2,0,203,10,1
58,0,14,6,4,2,1,1,557,22,0
65,0,36,8,6,21,0,0,966,21,1
41,0,40,11,6,30,2,1,898,25,1
36,1,29,4,8,17,1,2,570,8,1
44,0,25,12,10,20,0,0,350,12,1
54,0,21,3,6,5,0,1,118,7,1
35,0,12,2,7,15,0,0,149,6,1
27,1,58,18,5,27,0,0,704,14,1
28,0,25,27,2,23,0,1,108,28,1
36,1,34,5,1,15,0,0,874,24,0
22,0,46,23,5,30,2,1,214,2,1
64,0,47,5,4,19,2,2,885,24,1
52,1,32,19,6,24,0,1,770,14,1
36,1,21,19,6,30,1,0,648,24,0
42,1,52,28,4,27,2,2,919,15,1
28,1,58,16,0,1,0,2,587,26,0
21,0,35,13,0,15,0,1,321,28,0
26,1,28,30,6,22,2,1,663,23,1
18,0,57,16,10,2,0,1,657,26,0
62,1,20,17,1,0,1,0,220,12,0
21,0,49,2,1,25,1,0,595,15,1
44,0,10,1,3,0,0,1,894,20,1
51,0,26,23,3,21,1,1,348,22,1
55,1,42,14,2,24,1,0,635,6,1
37,0,43,18,0,27,2,1,615,19,1
30,0,49,19,4,13,2,1,551,3,0
46,0,22,17,10,3,2,2,753,8,0
32,0,30,22,2,27,1,1,415,2,1
28,1,49,16,2,11,1,2,772,2,0
35,0,19,16,0,25,0,1,735,12,1
38,1,13,15,3,13,0,2,798,4,0
18,1,50,18,10,27,0,1,801,2,1
65,0,31,1,4,11,0,2,688,1,1
38,1,20,5,9,12,2,0,328,29,0
20,0,47,23,5,18,1,1,592,8,1
47,0,23,23,5,28,0,1,796,16,1
55,1,1,8,8,8,2,1,651,8,0
62,0,31,5,1,20,0,0,682,27,1
27,1,35,3,7,30,2,1,733,1,1
46,0,13,18,8,18,0,2,149,26,1
55,0,56,25,2,24,0,0,130,7,1
20,0,30,27,6,29,1,0,447,29,1
54,0,40,26,10,28,1,0,259,22,1
40,0,10,26,1,29,0,2,399,5,1
21,1,42,22,5,30,1,2,870,26,0
59,1,25,4,4,5,0,0,659,27,1
50,0,5,27,9,4,1,1,342,23,0
28,0,54,17,5,23,0,0,351,30,1
47,0,15,21,5,21,0,0,280,16,1
37,0,17,5,5,30,2,1,610,5,1
33,1,11,8,1,3,1,2,773,3,0
38,0,7,20,10,27,2,2,139,24,1
26,1,37,18,7,29,2,0,286,5,1
33,0,60,3,10,14,0,2,459,6,1
