Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn,Basic,Premium,Standard,Annual,Monthly,Quarterly
34,0,16,26,8,18,353,10,0,0,0,1,0,0,1
61,1,52,29,0,21,420,2,0,1,0,0,1,0,0
19,0,55,20,2,7,787,8,0,0,1,0,0,1,0
30,1,11,15,3,27,318,30,0,0,1,0,0,1,0
28,0,12,25,1,26,870,23,0,0,1,0,0,0,1
52,1,23,23,6,8,973,3,0,0,1,0,0,0,1
52,1,49,1,2,6,437,11,0,0,1,0,1,0,0
42,0,42,15,4,3,603,26,0,0,1,0,1,0,0
27,1,34,20,2,26,438,2,0,0,1,0,0,1,0
45,0,33,29,4,4,656,25,0,0,1,0,1,0,0
34,1,1,30,0,3,668,26,0,0,0,1,0,0,1
20,0,35,7,9,5,391,14,0,1,0,0,0,1,0
56,0,39,6,8,1,740,1,0,0,0,1,0,1,0
52,0,12,10,4,12,795,24,0,1,0,0,0,1,0
29,0,21,21,1,5,733,13,0,0,1,0,0,0,1
23,0,12,18,0,26,658,19,0,0,0,1,1,0,0
26,0,48,20,2,15,148,22,0,1,0,0,0,1,0
58,1,36,8,3,12,216,15,0,1,0,0,1,0,0
22,1,6,14,4,4,267,29,0,0,0,1,1,0,0
40,0,11,18,7,17,628,1,0,0,0,1,1,0,0
52,1,27,9,10,13,293,15,0,1,0,0,1,0,0
49,1,56,15,6,11,694,6,0,1,0,0,1,0,0
27,0,5,19,9,15,544,11,0,1,0,0,1,0,0
43,1,60,13,3,21,670,11,0,0,1,0,1,0,0
65,0,5,28,7,20,940,5,0,0,0,1,1,0,0
26,1,3,29,2,16,936,4,0,0,0,1,0,1,0
56,1,2,25,0,7,677,3,0,1,0,0,0,0,1
63,0,18,17,3,30,540,16,0,1,0,0,1,0,0
44,1,28,13,1,11,344,8,0,1,0,0,1,0,0
60,0,34,27,6,1,958,5,0,0,0,1,0,0,1
24,1,51,29,2,22,210,6,0,0,0,1,0,1,0
53,1,24,17,1,23,736,12,0,0,1,0,0,0,1
44,1,2,29,4,5,832,3,0,0,1,0,0,1,0
55,1,11,29,10,19,684,19,0,0,1,0,0,1,0
37,0,42,17,9,9,173,5,0,0,0,1,1,0,0
43,1,12,2,5,5,233,2,0,1,0,0,0,0,1
50,1,1,20,10,1,385,29,0,1,0,0,1,0,0
32,1,12,30,1,14,942,18,0,1,0,0,0,0,1
32,0,35,29,2,19,328,6,0,0,1,0,0,1,0
54,0,60,27,0,7,578,22,0,0,0,1,0,1,0
65,1,46,20,4,17,789,1,0,1,0,0,1,0,0
47,1,40,23,1,7,302,4,0,0,1,0,1,0,0
50,1,48,29,6,4,568,29,0,0,0,1,1,0,0
60,1,59,16,0,12,288,23,0,0,1,0,1,0,0
55,1,29,11,3,11,897,10,0,0,0,1,0,1,0
38,1,19,13,7,7,950,7,0,0,1,0,1,0,0
54,1,5,15,5,16,142,29,0,1,0,0,0,1,0
64,1,5,17,10,19,435,14,0,0,1,0,0,1,0
45,0,48,29,1,14,737,7,0,0,1,0,0,1,0
53,0,47,16,0,20,178,11,0,0,1,0,0,1,0
40,1,4,20,2,28,881,3,0,0,0,1,0,0,1
29,0,47,11,1,9,735,22,0,0,0,1,0,0,1
22,0,11,10,1,2,243,2,0,0,0,1,0,1,0
61,0,8,18,0,5,447,19,0,0,0,1,0,0,1
55,0,5,9,5,15,690,5,0,0,1,0,1,0,0
61,0,5,20,1,29,936,18,0,0,1,0,0,0,1
22,0,12,4,9,9,445,20,0,0,0,1,0,1,0
27,0,11,16,2,14,113,28,0,1,0,0,0,0,1
40,1,31,4,2,0,332,9,0,0,1,0,1,0,0
43,0,10,27,6,17,921,18,0,1,0,0,0,1,0
23,1,16,18,7,18,164,2,0,0,1,0,0,0,1
51,1,38,7,1,14,267,28,0,0,0,1,1,0,0
19,1,4,10,4,23,801,9,0,0,0,1,0,0,1
58,0,50,24,4,14,644,22,0,1,0,0,0,1,0
36,1,3,5,9,13,936,26,0,0,0,1,0,0,1
33,1,51,16,0,22,983,2,0,0,1,0,0,1,0
33,0,22,3,3,27,673,7,0,0,1,0,1,0,0
36,0,25,30,10,14,995,11,0,0,0,1,1,0,0
26,0,52,13,4,11,622,12,0,1,0,0,0,1,0
36,1,25,27,4,17,640,12,0,1,0,0,0,0,1
28,1,9,18,3,20,397,16,0,0,0,1,0,0,1
57,1,35,12,5,7,869,5,0,0,0,1,1,0,0
36,1,22,25,5,27,465,23,0,0,0,1,1,0,0
19,1,54,17,5,10,467,24,0,0,0,1,1,0,0
61,1,43,16,1,20,746,9,0,0,1,0,0,0,1
39,1,49,28,2,6,312,28,0,0,1,0,0,1,0
57,0,52,10,2,20,114,11,0,0,0,1,1,0,0
28,1,57,11,7,1,502,9,0,1,0,0,1,0,0
42,1,15,3,0,26,626,11,0,0,0,1,1,0,0
62,1,5,12,4,21,627,14,0,1,0,0,1,0,0
41,1,10,20,5,13,516,7,0,0,1,0,1,0,0
60,1,36,19,5,10,159,21,0,0,1,0,1,0,0
20,1,25,4,6,4,768,13,0,0,1,0,0,0,1
20,0,51,3,1,10,137,5,0,0,0,1,0,0,1
49,1,13,17,10,19,185,28,0,0,1,0,0,0,1
