Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
38,1,49,22,6,27,2,2,213,10,churn
32,1,39,26,7,27,1,2,699,28,churn
55,0,52,24,6,23,1,1,801,18,churn
25,1,46,3,5,26,0,2,651,26,churn
34,1,37,23,6,30,0,0,383,10,churn
59,0,11,5,7,21,1,0,203,13,churn
26,1,54,29,6,26,1,1,234,24,churn
49,1,60,29,9,29,0,2,563,3,churn
21,1,41,25,6,17,0,2,841,17,churn
43,0,11,28,5,23,1,0,596,21,churn
26,1,35,14,8,30,2,1,114,22,churn
40,1,35,6,5,16,0,2,432,10,churn
51,0,42,23,8,27,2,0,116,22,churn
20,1,24,11,5,30,2,0,657,8,churn
26,0,19,24,7,25,2,0,104,18,churn
52,0,10,2,1,0,2,2,584,26,churn
37,0,34,23,10,19,2,0,718,19,churn
37,0,53,1,5,19,2,1,766,3,churn
46,1,24,11,6,21,1,2,121,14,churn
60,1,57,5,8,8,1,2,420,28,churn
26,0,47,13,8,17,0,1,974,12,churn
55,0,35,5,4,28,2,2,519,18,churn
25,0,53,26,6,22,1,0,594,13,churn
50,1,38,6,5,23,2,2,117,19,churn
54,1,55,19,5,26,1,0,597,23,churn
25,0,28,1,2,30,1,0,381,4,churn
55,1,38,14,9,22,1,2,349,2,churn
23,0,25,30,9,18,2,1,709,8,churn
33,1,40,8,5,20,2,1,840,3,churn
40,1,28,10,8,17,1,1,799,30,churn
63,1,31,20,9,17,0,1,242,12,churn
52,0,38,12,9,28,2,0,285,5,churn
29,0,41,22,6,26,1,0,428,7,churn
65,0,31,25,8,28,0,2,894,9,churn
19,0,37,9,8,24,2,0,629,1,churn
28,0,34,7,0,26,2,0,792,20,churn
65,0,44,8,3,26,1,0,383,1,churn
60,1,4,1,4,3,2,1,990,26,churn
52,1,26,13,9,21,0,1,141,7,churn
19,0,55,12,0,21,0,2,367,22,churn
59,0,49,4,9,17,2,0,857,11,churn
32,0,58,10,10,26,0,0,486,21,churn
20,0,12,15,10,24,0,2,474,19,churn
54,0,17,19,4,26,2,0,995,7,churn
25,1,34,19,10,29,2,1,221,1,churn
64,0,23,6,8,21,2,1,126,25,churn
62,0,11,3,10,8,2,1,371,12,churn
51,0,40,2,9,25,1,1,631,24,churn
53,0,18,16,1,23,1,2,344,8,churn
59,0,26,3,6,27,1,2,121,27,churn
52,1,43,13,7,20,1,0,475,30,churn
41,0,57,9,6,29,1,0,888,1,churn
43,1,31,7,7,23,0,1,876,30,churn
56,0,49,25,5,27,2,0,884,14,churn
19,0,15,13,7,27,2,0,401,24,churn
32,1,49,18,9,24,0,1,398,1,churn
60,1,35,17,6,25,0,0,143,21,churn
57,0,15,1,4,6,2,1,189,27,churn
31,1,46,1,8,27,1,2,939,13,churn
24,0,41,25,10,16,0,0,847,17,churn
61,0,35,23,8,30,2,1,603,4,churn
33,0,11,23,3,23,2,0,267,12,churn
40,1,54,8,7,25,2,0,865,17,churn
27,0,6,29,4,23,2,0,690,24,churn
61,0,38,12,1,21,0,0,866,10,churn
50,1,49,22,8,17,0,1,806,13,churn
40,0,41,6,8,26,0,0,318,22,churn
36,0,59,15,7,22,2,1,962,28,churn
47,1,36,30,10,22,0,0,360,29,churn
58,0,48,9,8,20,1,0,956,4,churn
59,0,8,3,8,11,0,1,776,25,churn
23,1,47,29,7,23,2,0,497,25,churn
49,1,49,16,7,17,1,1,505,20,churn
50,0,5,15,6,25,0,0,161,6,churn
58,0,45,14,5,17,1,1,158,24,churn
23,0,2,29,4,30,0,1,247,29,churn
43,1,26,1,7,29,2,2,559,14,churn
30,0,54,12,0,26,0,0,563,10,churn
41,0,44,23,5,21,2,1,561,15,churn
38,0,43,14,7,20,0,2,387,27,churn
25,1,59,19,9,21,2,2,205,9,churn
39,0,30,12,4,29,2,1,375,20,churn
49,1,30,15,5,17,2,0,459,27,churn
61,0,49,29,7,23,0,0,122,14,churn
28,0,32,20,1,23,2,0,542,28,churn
24,0,39,6,3,29,0,0,269,13,churn
61,0,33,21,6,19,2,0,745,29,churn
46,0,25,14,3,22,2,0,195,15,churn
25,0,1,21,3,26,0,0,988,30,churn
47,0,46,26,6,29,2,0,143,7,churn
27,0,58,4,3,29,0,0,168,26,churn
55,1,12,2,6,16,0,2,717,28,churn
46,0,41,16,4,29,0,0,803,15,churn
51,0,49,1,6,26,1,1,166,26,churn
27,1,50,28,9,25,1,1,354,26,churn
64,1,33,22,8,21,2,2,137,16,churn
45,0,44,10,8,21,2,1,291,2,churn
32,1,29,17,8,22,2,2,638,3,churn
59,0,58,29,5,18,1,2,872,4,churn
48,1,55,9,10,26,2,2,282,7,churn
61,0,1,22,5,27,2,0,849,24,churn
59,1,8,3,6,5,2,0,594,4,churn
58,0,46,30,2,24,0,2,380,12,churn
55,1,55,2,6,5,1,2,749,27,churn
30,0,51,23,7,19,1,0,406,30,churn
20,0,28,14,2,30,1,2,281,10,churn
40,0,42,23,9,29,1,2,475,23,churn
31,0,7,23,9,26,0,0,970,11,churn
25,0,20,15,10,23,1,0,382,12,churn
53,1,56,25,6,16,2,0,822,28,churn
29,0,37,22,9,20,1,2,678,26,churn
27,1,45,11,6,22,1,1,895,2,churn
20,0,36,9,10,19,1,0,711,30,churn
36,0,34,29,5,27,0,1,714,11,churn
52,0,43,2,10,28,2,1,749,6,churn
48,0,37,27,9,30,0,0,288,4,churn
60,1,45,17,6,17,1,2,959,6,churn
48,0,2,13,9,30,0,0,106,26,churn
64,0,12,21,8,21,1,0,343,15,churn
28,1,51,17,9,25,2,1,806,25,churn
55,0,48,29,5,30,2,2,926,23,churn
23,0,53,5,5,24,0,2,360,8,churn
21,1,56,3,10,16,2,0,882,29,churn
52,0,49,14,6,23,2,1,414,14,churn
56,0,18,19,3,29,1,0,885,29,churn
48,0,37,12,8,29,0,1,396,15,churn
31,0,12,6,9,21,1,1,279,14,churn
33,0,25,20,5,25,0,0,736,14,churn
42,0,45,17,10,17,1,2,988,28,churn
32,0,50,6,10,24,2,2,110,8,churn
58,1,37,13,9,18,1,2,758,24,churn
41,1,37,22,5,22,0,1,494,6,churn
52,1,27,3,9,13,0,0,541,19,churn
43,1,55,28,10,27,2,0,591,5,churn
30,0,44,16,10,24,0,1,891,24,churn
36,0,30,23,6,24,0,2,889,1,churn
65,0,27,4,9,9,2,2,851,25,churn
60,0,41,4,6,10,1,0,500,28,churn
41,0,56,21,8,29,0,1,926,2,churn
56,0,5,19,7,30,2,0,467,20,churn
24,1,27,25,8,16,2,0,976,10,churn
45,0,38,17,6,25,0,0,729,11,churn
47,1,57,23,9,17,1,2,228,23,churn
52,1,53,19,7,24,2,0,653,5,churn
43,0,15,9,10,26,1,2,488,11,churn
56,1,13,2,10,18,1,0,764,19,churn
62,0,50,14,9,29,2,2,668,3,churn
42,0,15,28,10,21,2,2,220,25,churn
36,0,43,16,8,22,2,1,642,23,churn
63,0,52,3,10,2,0,2,721,13,churn
39,0,26,18,10,26,1,2,789,12,churn
56,0,10,2,7,18,1,0,127,23,churn
28,0,33,19,1,30,0,1,385,8,churn
57,0,2,20,8,23,0,1,123,18,churn
30,1,45,8,8,22,0,0,289,22,churn
40,1,34,3,6,29,1,1,187,4,churn
43,0,9,1,4,23,0,0,218,27,churn
46,0,55,7,2,23,1,0,454,13,churn
23,0,17,28,7,26,0,2,358,21,churn
56,0,24,6,5,20,1,2,968,6,churn
42,0,48,1,5,30,2,0,447,13,churn
24,1,60,12,8,29,0,2,978,23,churn
28,0,31,2,5,27,0,0,140,15,churn
24,0,35,8,3,23,0,0,194,9,churn
38,0,38,5,9,18,2,2,314,24,churn
48,1,30,3,5,24,2,0,114,10,churn
51,0,49,25,9,17,2,1,706,3,churn
20,0,53,15,7,20,0,2,229,18,churn
44,0,43,7,9,29,0,1,610,6,churn
65,1,37,7,6,30,1,0,246,30,churn
41,0,57,27,3,24,1,2,455,24,churn
55,0,40,19,7,26,0,1,903,17,churn
20,0,8,28,1,21,1,0,676,24,churn
44,1,43,7,5,18,0,1,337,3,churn
40,0,43,13,5,16,2,1,571,23,churn
32,0,30,12,8,17,2,2,574,25,churn
58,1,52,3,6,3,0,2,702,22,churn
64,0,45,22,10,28,2,0,895,22,churn
20,0,46,14,7,29,0,1,473,20,churn
33,0,29,24,10,17,2,1,380,23,churn
59,1,55,5,7,25,1,2,796,7,churn
19,0,59,28,3,25,0,0,466,19,churn
61,0,32,3,9,8,2,1,427,26,churn
41,0,45,13,6,22,2,2,970,1,churn
29,0,11,27,10,26,1,2,341,4,churn
61,0,32,1,6,26,1,2,816,6,churn
53,1,46,11,7,26,1,1,799,21,churn
30,0,39,30,6,28,2,0,123,4,churn
34,0,7,17,2,30,1,0,530,7,churn
65,1,51,5,5,16,0,1,104,28,churn
62,0,22,10,3,23,2,0,246,21,churn
64,0,29,19,8,16,1,2,315,9,churn
33,0,39,16,7,19,1,1,559,28,churn
