Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
36,1,49,22,0,3,1,0,227,28,0
29,0,20,29,3,27,2,2,802,12,0
63,1,16,22,5,14,0,1,432,19,0
50,0,41,11,7,10,1,0,503,24,0
26,1,52,4,9,9,1,2,162,4,0
63,0,25,6,6,7,1,1,732,19,0
37,1,12,28,3,14,0,2,300,1,0
60,1,16,11,2,7,1,2,823,7,0
29,0,35,6,2,18,2,0,268,26,0
58,1,28,7,1,25,2,1,817,30,0
63,0,21,12,8,23,1,1,790,8,0
26,1,5,24,5,24,0,0,597,15,0
50,1,9,7,6,22,2,2,274,3,0
27,1,59,1,5,14,2,1,937,22,0
50,1,15,8,9,1,1,0,946,6,0
22,0,14,7,0,0,1,2,606,4,0
26,1,50,9,3,5,1,0,288,29,0
53,1,25,14,2,19,2,2,358,6,0
31,1,9,25,9,28,0,1,703,28,0
52,0,16,17,10,4,2,2,887,18,0
51,1,27,8,4,18,2,2,958,15,0
50,0,14,8,3,19,1,1,572,27,0
48,1,60,20,10,12,1,2,167,30,0
41,1,23,18,4,25,2,1,231,25,0
64,0,13,3,3,16,1,1,924,21,0
32,1,15,15,10,6,2,2,190,8,0
48,1,38,12,1,29,2,2,256,18,0
23,1,11,4,8,7,1,2,416,26,0
20,0,36,19,8,7,0,2,984,18,0
22,0,36,30,4,7,0,2,362,2,0
60,0,16,20,10,5,1,1,145,24,0
23,1,11,5,7,30,2,2,622,17,0
47,1,40,8,9,8,1,0,562,17,0
38,0,57,2,8,12,2,2,825,16,0
24,0,24,6,5,10,0,1,435,16,0
31,1,28,8,7,0,1,1,313,13,0
40,0,27,24,2,15,1,0,882,13,0
50,0,1,21,5,9,0,0,646,20,0
47,1,2,18,8,7,1,0,610,25,0
44,1,50,28,1,27,0,0,655,28,0
47,1,11,23,2,27,0,0,779,26,0
42,1,43,26,3,4,2,1,386,10,0
47,0,41,28,0,5,1,2,814,29,0
19,1,6,15,9,14,2,0,257,17,0
28,0,13,14,7,11,0,2,633,24,0
50,1,32,19,2,24,1,1,917,2,0
65,0,11,15,6,2,0,2,559,5,0
44,1,14,2,4,16,2,0,661,25,0
40,1,25,22,4,0,0,1,349,24,0
51,1,28,20,3,21,2,1,790,19,0
44,1,4,12,8,19,2,2,513,27,0
50,0,20,3,1,23,2,2,755,17,0
25,1,12,26,10,6,2,1,507,15,0
64,1,56,29,7,5,0,0,840,23,0
39,1,11,1,9,27,2,1,328,18,0
42,0,38,14,4,0,1,1,932,8,0
57,0,7,25,2,22,1,1,916,19,0
29,0,16,9,4,19,2,2,436,4,0
18,1,47,30,4,2,0,1,928,28,0
23,0,59,21,1,17,0,1,896,21,0
59,0,30,21,7,3,1,0,618,20,0
35,1,5,18,6,16,1,0,469,19,0
61,1,6,22,6,23,1,0,471,25,0
32,1,18,17,9,9,1,1,393,26,0
42,1,16,5,6,4,0,1,981,3,0
39,0,13,25,6,17,1,2,491,8,0
20,0,46,10,9,11,0,0,477,20,0
52,1,6,8,4,28,1,2,536,8,0
40,0,56,3,2,4,1,2,594,27,0
26,1,42,28,5,8,0,1,429,17,0
52,0,46,29,4,18,1,0,486,10,0
45,0,24,26,5,2,2,2,927,6,0
35,1,2,25,3,23,0,0,899,29,0
18,0,54,14,3,18,0,0,467,30,0
21,1,35,22,5,0,0,2,307,9,0
30,1,8,5,1,21,0,0,519,13,0
57,0,9,5,0,2,2,2,438,25,0
58,1,21,19,5,7,1,1,938,17,0
38,1,14,11,9,21,2,2,265,2,0
23,1,50,26,1,30,0,1,521,6,0
44,0,2,3,10,12,1,1,302,22,0
20,1,57,12,2,1,2,1,685,12,0
36,1,27,4,5,13,0,1,178,24,0
34,0,32,5,0,19,1,2,392,9,0
19,0,1,10,9,0,2,1,736,28,0
41,0,4,29,8,28,2,1,526,4,0
20,0,18,19,7,1,2,1,693,25,0
56,0,1,19,2,3,0,0,188,20,0
55,0,14,9,3,13,1,0,766,6,0
47,0,23,12,6,7,0,1,845,23,0
23,1,35,24,4,13,1,2,635,29,0
41,1,17,6,4,4,2,2,615,3,0
42,1,27,29,1,30,0,0,763,11,0
20,0,42,11,9,3,2,1,618,16,0
49,0,4,7,6,20,0,1,846,17,0
58,1,59,10,5,8,0,0,599,25,0
62,0,27,20,8,6,2,2,127,20,0
48,1,1,7,5,15,1,2,333,4,0
22,0,13,21,2,10,1,1,500,19,0
29,1,27,8,7,3,2,2,109,9,0
28,1,25,22,9,10,1,2,944,18,0
43,0,47,29,8,7,0,2,761,10,0
22,1,58,19,4,19,2,0,732,20,0
26,0,28,19,9,10,2,0,860,18,0
47,1,27,25,3,1,0,0,472,8,0
65,0,46,3,0,15,0,1,696,30,0
21,1,33,4,2,14,1,2,581,14,0
34,1,39,15,4,18,0,0,325,26,0
29,0,22,18,0,19,0,1,520,23,0
39,1,49,5,0,27,1,1,481,12,0
61,1,34,15,2,17,0,1,231,17,0
64,1,43,10,4,29,1,1,756,15,0
18,0,6,19,6,16,2,2,636,18,0
26,1,27,26,3,18,2,2,959,8,0
52,1,48,30,0,18,0,2,999,22,0
37,1,54,17,2,13,1,2,213,22,0
62,1,12,7,7,27,1,1,531,10,0
22,1,19,23,8,4,0,0,942,30,0
30,0,34,30,8,3,1,2,120,29,0
21,1,37,10,8,12,2,1,786,27,0
59,1,7,24,6,21,1,2,172,30,0
32,1,42,19,5,14,1,1,584,1,0
34,1,20,4,8,25,1,0,545,7,0
41,1,6,24,5,30,2,0,155,9,0
45,0,20,19,2,16,0,2,716,26,0
54,1,12,8,2,17,1,0,767,20,0
24,0,47,11,3,19,1,0,175,21,0
63,0,31,17,5,12,1,0,486,28,0
56,0,45,3,2,12,1,2,714,26,0
33,0,41,27,10,3,0,0,757,14,0
37,0,7,13,4,9,1,0,582,22,0
31,0,53,25,8,8,2,1,679,10,0
38,1,8,27,8,17,1,2,372,24,0
57,1,32,2,0,18,1,2,466,1,0
52,1,50,28,2,10,1,2,237,15,0
25,1,54,25,5,0,2,1,403,12,0
46,1,26,4,4,21,2,2,318,3,0
64,0,51,15,4,22,1,1,587,20,0
65,0,9,7,6,8,0,2,488,4,0
24,0,14,10,2,0,1,0,359,6,0
58,0,17,30,1,25,2,2,521,7,0
53,1,40,1,2,29,1,1,275,2,0
60,1,60,15,4,4,2,2,330,27,0
58,0,39,22,7,6,1,1,257,29,0
33,0,13,16,2,7,0,2,261,15,0
27,0,27,8,10,3,1,0,744,29,0
23,0,44,22,9,1,2,2,239,4,0
57,1,39,23,0,25,1,2,877,20,0
23,0,46,16,9,13,1,0,800,24,0
59,1,2,16,0,13,0,1,435,22,0
60,0,29,14,3,25,0,2,796,16,0
43,1,37,11,3,23,1,2,377,9,0
65,1,25,28,2,5,0,0,904,3,0
19,0,49,8,0,17,2,1,158,8,0
36,0,39,10,4,9,2,0,417,7,0
29,0,16,13,9,14,0,2,167,19,0
62,1,22,30,9,21,0,2,736,24,0
27,1,16,27,3,25,2,0,943,10,0
48,1,17,14,3,20,1,1,663,20,0
26,1,23,17,10,11,0,1,522,28,0
27,0,22,2,5,19,0,1,395,15,0
49,0,51,1,8,13,2,0,255,13,0
61,1,60,8,0,9,1,0,330,30,0
44,1,12,8,6,8,2,2,757,9,0
59,1,7,3,2,27,2,2,291,4,0
21,1,11,20,0,29,2,1,561,28,0
31,0,43,4,10,8,1,0,473,25,0
63,1,53,12,5,9,2,2,628,29,0
39,0,6,29,0,4,1,0,181,25,0
21,0,41,2,3,25,0,2,996,14,0
29,1,32,19,4,20,2,0,401,22,0
43,0,46,3,9,14,1,0,175,19,0
37,1,35,17,2,0,0,2,275,8,0
47,0,20,20,6,15,0,1,104,18,0
20,1,40,17,1,9,0,1,993,9,0
47,0,49,1,4,16,0,0,849,1,0
61,0,57,5,2,16,0,2,432,20,0
34,1,36,14,4,4,2,2,213,2,0
35,1,2,17,6,9,2,0,558,20,0
28,1,11,26,5,3,1,0,942,3,0
39,1,39,6,7,9,2,0,844,6,0
26,1,3,29,2,16,1,0,936,4,0
61,1,13,15,1,30,1,1,588,22,0
50,0,1,25,9,16,2,1,426,23,0
53,1,23,15,2,10,2,1,549,5,0
28,0,44,4,6,8,1,1,928,27,0
64,1,27,15,9,12,0,2,473,10,0
23,0,24,21,6,2,2,2,605,18,0
22,0,16,30,9,18,1,2,296,27,0
30,1,12,21,1,0,1,0,263,5,0
47,0,3,8,7,28,0,2,707,11,0
31,1,22,14,5,25,1,1,982,14,0
22,0,34,10,2,0,2,1,488,7,0
43,1,10,20,2,18,2,2,341,9,0
51,0,46,24,0,17,0,1,306,18,0
44,0,18,14,3,8,0,0,690,27,0
34,0,20,26,5,4,1,2,958,4,0
20,0,3,27,4,0,2,2,723,11,0
44,0,60,18,10,0,0,0,433,1,0
20,0,36,30,1,27,1,2,621,2,0
61,1,21,7,3,6,0,1,414,13,0
38,0,21,16,4,3,1,1,560,9,0
29,1,37,11,3,18,0,0,993,28,0
62,1,39,19,2,15,2,1,202,24,0
56,0,27,6,7,6,0,1,678,1,0
43,1,8,15,10,7,0,2,286,15,0
26,0,33,5,6,5,1,0,650,19,0
45,0,5,10,9,20,0,2,375,15,0
59,0,47,14,3,24,1,2,767,7,0
44,0,51,8,3,10,1,2,792,2,0
38,0,23,18,7,3,0,1,680,7,0
47,1,27,9,10,7,0,1,515,8,0
