Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
38,Female,32,15,2,13,1,0,517,20,0
28,Female,10,30,1,11,1,0,632,23,0
43,Female,27,23,4,5,2,0,774,26,0
55,Female,7,16,6,7,1,0,561,8,0
24,Male,11,8,8,30,2,0,612,26,0
26,Male,48,8,0,29,1,2,834,15,0
30,Female,57,7,9,3,0,0,542,16,0
62,Female,54,18,4,18,0,2,626,4,0
52,Male,11,5,3,28,1,1,906,20,0
24,Female,19,14,8,1,1,0,511,30,0
36,Male,3,13,0,1,2,1,518,14,0
36,Male,6,18,2,3,0,2,497,12,0
41,Female,3,19,9,1,1,0,316,11,0
44,Female,5,1,0,24,2,1,699,4,0
62,Male,28,18,1,15,1,1,386,13,0
42,Male,54,16,8,11,2,0,947,28,0
34,Female,25,23,4,22,0,2,647,7,0
60,Male,57,10,9,14,1,2,497,11,0
41,Male,28,5,0,0,1,1,577,1,0
31,Male,27,4,0,8,1,2,188,29,0
43,Female,43,21,9,0,0,1,768,24,0
30,Male,48,21,3,20,1,1,437,13,0
53,Female,21,25,2,18,1,1,545,9,0
51,Male,2,27,0,21,1,0,347,2,0
43,Female,40,8,2,14,1,2,702,6,0
56,Male,32,1,3,29,2,0,271,9,0
49,Male,4,19,1,6,1,1,782,12,0
35,Male,60,23,1,18,2,1,216,21,0
46,Female,20,23,0,25,2,2,568,2,0
38,Male,10,21,10,25,2,2,790,13,0
29,Male,48,2,7,15,1,2,997,27,0
19,Male,10,30,5,5,0,2,605,15,0
36,Male,5,15,9,28,1,0,417,3,0
46,Female,12,2,7,10,1,0,135,9,0
60,Female,3,25,2,4,1,1,855,10,0
26,Male,16,4,8,5,1,0,710,24,0
52,Female,34,24,1,15,2,1,875,30,0
29,Male,44,12,2,21,2,0,445,26,0
58,Female,34,25,1,10,2,0,720,17,0
58,Male,35,11,9,3,0,2,887,14,0
45,Male,1,10,0,3,2,2,118,13,0
21,Female,35,13,0,15,0,1,321,28,0
26,Female,29,25,0,5,2,1,571,14,0
36,Male,33,30,6,7,2,1,402,9,0
33,Female,9,19,9,16,1,2,665,9,0
59,Male,53,12,9,1,1,2,158,19,0
58,Male,38,22,5,0,1,1,252,24,0
57,Female,4,1,2,4,1,0,739,18,0
45,Male,40,7,1,5,2,1,670,3,0
48,Male,43,26,6,4,0,2,903,25,0
60,Male,21,8,3,25,1,1,167,12,0
65,Male,21,22,10,17,2,2,263,26,0
50,Male,15,17,8,27,1,1,333,26,0
24,Female,49,26,7,0,2,0,718,20,0
47,Male,38,28,2,19,0,2,539,9,0
21,Male,60,18,3,15,1,2,418,16,0
19,Female,28,23,1,11,1,0,361,29,0
44,Male,43,23,3,8,1,1,383,23,0
61,Male,6,11,3,27,1,1,157,17,0
54,Male,5,16,8,4,2,0,375,8,0
22,Female,18,29,7,4,0,0,735,13,0
22,Female,17,28,9,12,2,2,944,29,0
26,Male,14,25,0,23,0,2,691,3,0
42,Male,22,22,5,1,2,2,538,1,0
22,Male,35,24,1,9,1,1,385,29,0
27,Male,15,6,3,23,1,0,728,2,0
39,Male,48,21,1,14,2,0,412,9,0
33,Male,20,27,5,12,0,1,226,16,0
45,Female,4,17,0,15,2,1,827,4,0
41,Male,57,11,0,10,0,2,772,3,0
61,Male,12,11,4,28,2,1,467,19,0
44,Male,15,26,6,1,2,2,773,30,0
58,Male,42,10,6,7,1,2,948,4,0
24,Male,58,9,0,26,0,0,243,15,0
60,Male,26,20,8,0,0,0,361,17,0
26,Male,51,30,4,0,0,2,250,3,0
47,Female,35,18,6,1,2,0,407,19,0
65,Female,52,30,0,5,2,2,407,23,0
59,Male,11,18,2,21,2,0,924,16,0
18,Male,47,30,4,2,0,1,928,28,0
50,Female,54,15,8,14,1,0,748,4,0
56,Female,28,19,3,19,1,0,493,23,0
55,Female,21,30,4,20,2,1,751,17,0
52,Male,21,14,9,14,0,2,354,11,0
58,Female,35,12,7,4,0,2,319,19,0
41,Male,53,10,6,14,2,0,550,29,0
65,Female,21,16,3,13,0,0,839,8,0
61,Female,24,23,4,12,2,0,911,13,0
57,Male,44,16,1,21,0,1,307,27,0
54,Female,16,18,1,12,1,0,982,21,0
58,Female,25,27,4,10,0,1,634,6,0
20,Male,38,25,2,5,0,0,289,16,0
33,Male,21,1,5,25,1,2,459,3,0
52,Male,54,7,6,5,0,2,647,17,0
