Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
61,1,28,1,0,17,2,2,679,16,0
64,1,13,20,6,2,1,1,277,6,0
37,0,54,3,3,4,0,0,346,26,0
34,1,31,4,6,14,1,2,338,4,0
23,1,11,28,0,11,0,2,626,1,0
49,0,18,20,2,1,0,0,450,29,0
24,0,27,13,9,2,2,1,699,28,0
39,0,9,21,8,20,2,0,267,12,0
39,1,26,16,6,6,2,0,796,5,0
28,1,13,16,1,13,1,2,398,2,0
36,1,15,26,3,6,1,2,641,17,0
38,0,46,3,7,6,0,1,446,21,0
35,1,42,7,2,8,2,1,801,21,0
47,1,33,29,2,8,0,1,277,5,0
61,1,52,18,8,12,1,1,449,2,0
20,1,7,24,5,18,0,0,253,29,0
57,1,50,16,7,11,2,1,827,9,0
34,0,25,21,7,9,1,2,773,10,0
36,1,19,11,8,4,2,1,424,22,0
22,0,23,18,2,12,0,1,973,20,0
52,0,21,20,2,7,1,0,440,1,0
21,0,57,15,0,24,1,1,774,18,0
20,0,16,28,9,1,0,2,550,30,0
56,1,22,4,2,0,1,0,664,5,0
28,1,36,27,3,24,2,1,761,4,0
19,1,8,15,2,23,0,0,251,1,0
49,0,29,4,7,8,2,0,224,18,0
63,1,29,2,0,23,0,1,266,18,0
60,1,44,29,9,3,0,0,538,21,0
47,1,60,13,2,0,1,2,482,15,0
36,0,55,9,6,5,1,0,499,13,0
49,0,60,24,6,11,0,2,176,1,0
37,1,52,6,9,12,2,0,931,30,0
65,0,44,8,3,16,1,2,370,13,0
39,0,36,7,7,5,1,2,433,22,0
36,0,43,15,0,1,0,0,996,11,0
30,1,59,10,9,4,1,0,105,2,0
46,1,24,11,8,4,0,0,632,12,0
56,1,49,16,9,2,1,1,678,21,0
43,1,28,21,2,7,0,1,979,11,0
35,1,52,10,7,8,1,1,923,8,0
31,1,18,6,10,25,2,0,949,8,0
44,1,55,23,5,9,0,2,414,1,0
65,0,60,23,4,14,0,1,999,15,0
53,0,38,30,2,23,1,2,773,2,0
26,0,2,22,8,0,2,2,385,7,0
36,0,21,14,10,8,2,0,467,12,0
30,1,4,3,1,9,2,0,498,25,0
38,1,34,10,9,2,2,0,942,2,0
19,1,40,5,7,8,0,2,505,26,0
58,1,4,8,0,19,0,2,978,28,0
40,0,39,12,9,0,0,0,418,4,0
30,0,32,25,8,8,1,1,904,13,0
20,0,4,23,5,17,2,2,425,16,0
64,0,50,27,4,20,2,2,552,6,0
52,1,59,7,8,5,1,2,539,20,0
54,1,53,21,1,16,1,2,188,28,0
19,1,3,18,9,18,1,1,868,23,0
56,0,29,12,0,3,2,0,876,8,0
58,1,28,2,0,25,2,0,774,21,0
46,1,16,3,8,19,2,2,740,1,0
23,0,45,2,0,29,2,1,865,30,0
34,1,24,23,6,6,2,1,156,3,0
53,1,13,20,7,19,2,1,927,23,0
41,1,35,17,4,15,0,1,748,23,0
29,0,41,1,4,19,1,1,513,9,0
32,0,9,9,10,13,2,2,814,1,0
48,1,57,5,5,6,2,2,380,21,0
21,0,8,6,0,19,2,0,515,28,0
44,0,10,20,9,13,0,2,614,22,0
64,0,43,8,2,20,0,2,680,6,0
24,0,38,19,7,1,0,2,533,18,0
65,1,9,24,0,27,1,1,327,26,0
59,0,4,15,9,2,0,1,148,5,0
33,0,29,23,5,15,2,1,683,10,0
25,1,8,21,3,18,2,1,326,11,0
25,0,2,23,5,1,0,1,292,7,0
24,0,58,19,1,3,1,0,550,18,0
47,0,3,8,7,28,0,2,707,11,0
64,1,60,15,1,4,1,0,361,26,0
55,0,12,25,0,27,1,2,536,16,0
36,1,22,25,5,27,1,2,465,23,0
56,0,12,21,4,7,0,1,775,21,0
44,1,29,10,4,6,2,2,651,14,0
51,1,48,25,6,10,2,2,183,23,0
47,0,52,25,9,11,0,0,385,11,0
42,0,36,3,7,13,0,0,193,13,0
19,1,24,10,3,23,1,2,305,4,0
50,1,2,30,5,16,2,1,231,18,0
57,0,38,19,7,4,2,0,958,15,0
57,0,29,14,6,8,0,1,548,7,0
51,0,1,12,5,30,2,2,655,11,0
61,0,11,10,1,23,1,2,787,19,0
24,0,41,12,7,15,2,2,732,30,0
46,1,25,28,0,6,1,0,748,7,0
40,0,16,11,6,11,1,1,132,4,0
