Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
49,1,23,9,1,7,2,2,560,10,0
43,1,54,13,3,7,0,0,643,27,0
54,0,23,9,3,22,1,0,667,16,1
26,0,39,27,9,16,0,1,851,8,1
55,0,57,10,2,22,2,1,192,1,1
24,0,30,21,6,17,1,1,636,1,1
33,0,8,19,8,29,2,1,348,8,1
23,0,27,10,8,16,1,0,999,15,1
57,1,58,22,7,20,2,2,425,23,1
20,1,52,7,2,26,1,1,303,5,0
63,1,28,26,5,29,0,2,371,12,1
26,0,6,28,10,26,2,1,155,23,1
24,1,12,27,7,15,1,2,126,24,0
58,1,52,26,9,11,1,2,854,2,0
44,0,29,20,9,28,0,2,881,24,1
62,0,2,24,5,26,0,2,833,28,0
46,1,56,20,5,27,2,0,382,3,1
21,0,33,4,8,17,2,2,949,18,1
65,1,48,26,8,21,2,1,406,18,1
65,1,54,22,3,5,2,0,919,5,0
20,1,4,27,3,30,0,2,448,24,0
41,0,39,26,10,26,2,2,265,23,1
31,1,38,1,6,22,2,2,433,12,1
49,1,8,2,5,11,1,1,518,17,0
47,1,52,18,4,20,2,2,174,29,0
21,1,24,2,8,13,2,0,529,10,0
32,1,37,17,2,12,1,2,880,27,0
39,1,16,12,0,15,0,2,445,28,0
48,0,14,3,10,0,0,2,528,1,0
21,0,56,19,10,28,0,2,213,8,1
64,0,60,2,10,19,2,2,295,15,1
64,0,7,24,7,22,2,0,232,26,1
56,0,41,1,8,18,1,0,638,16,1
49,1,19,12,9,24,0,2,585,6,0
27,1,22,12,5,26,1,2,776,12,0
62,1,16,21,10,18,2,0,916,7,0
55,0,1,8,6,30,0,2,370,10,1
58,1,7,7,0,15,2,0,599,14,0
61,1,45,1,6,24,1,1,916,26,1
55,1,53,9,4,20,1,0,241,1,0
53,1,40,22,2,1,1,0,752,11,0
49,0,49,9,10,24,1,1,938,5,1
24,1,56,10,1,17,2,0,917,16,0
20,0,57,7,8,22,0,2,264,7,1
25,1,28,3,5,21,1,0,172,30,1
59,1,47,1,10,3,0,2,889,19,1
62,0,21,8,1,27,0,0,345,19,1
20,0,28,17,0,28,0,0,460,4,1
51,1,30,13,5,3,0,0,504,3,0
20,1,31,16,8,29,0,0,336,25,1
28,1,5,27,2,14,0,1,729,15,0
24,1,32,8,10,16,1,1,296,5,1
62,1,7,22,5,10,2,2,182,15,0
34,0,21,4,4,29,2,2,115,29,1
50,1,52,28,7,19,0,1,722,4,1
30,0,29,9,10,2,1,1,640,24,0
54,1,54,16,6,19,1,2,399,5,1
63,1,2,20,9,23,2,1,627,15,0
41,1,56,21,8,19,0,0,128,8,1
44,0,55,1,6,1,2,1,850,30,0
59,1,44,5,5,23,0,1,666,13,1
35,1,37,23,9,21,0,0,192,6,1
36,0,57,23,8,16,2,0,158,3,1
62,0,50,14,3,8,1,2,285,23,0
42,0,9,7,6,5,2,2,848,22,0
30,1,39,2,6,19,0,1,312,21,1
29,1,24,15,8,22,1,0,777,16,1
65,0,3,4,4,5,0,2,651,14,1
56,1,59,26,4,8,2,0,179,19,0
30,1,56,7,8,15,2,0,134,29,0
32,0,27,4,4,27,1,1,608,18,0
37,0,18,14,6,11,1,0,205,15,0
26,1,55,20,0,28,1,1,448,4,0
38,0,50,12,8,22,0,1,329,8,1
21,1,2,16,2,25,2,0,339,6,0
54,1,35,13,3,15,2,0,864,16,0
37,0,59,2,8,24,1,2,141,14,1
40,1,16,18,5,23,1,1,405,4,0
30,1,47,28,0,28,0,2,545,6,0
40,0,14,6,2,15,1,1,454,28,0
60,0,46,9,4,7,0,2,153,30,0
47,0,47,7,3,30,1,2,131,22,1
37,0,24,26,1,23,1,1,486,17,1
29,1,32,30,5,4,0,0,932,22,0
20,1,56,16,9,16,2,2,117,4,1
45,0,3,24,2,28,0,2,371,24,1
20,1,52,21,2,12,1,2,829,5,0
34,0,8,22,5,3,2,0,462,23,0
56,0,24,7,3,11,2,2,786,26,0
21,1,30,24,10,26,1,2,918,4,1
49,0,17,6,0,23,1,0,993,29,1
49,1,25,18,5,23,0,1,423,14,1
31,0,28,16,10,3,0,1,633,11,0
23,1,21,29,9,27,1,0,671,9,0
23,0,11,3,8,30,0,0,603,28,1
54,0,50,5,8,2,0,0,378,4,1
52,0,33,11,9,25,1,2,506,30,1
37,0,25,2,5,9,2,1,666,23,0
25,1,12,11,8,11,2,2,714,22,0
35,0,8,1,7,6,0,2,770,2,1
53,1,60,5,6,22,1,2,926,20,1
29,0,56,10,7,14,1,2,661,30,0
53,0,54,25,2,24,2,2,438,12,1
54,0,18,2,1,26,1,2,361,21,1
51,0,55,29,5,25,0,0,490,17,1
41,0,13,5,10,23,2,1,201,2,1
23,1,28,16,9,19,1,1,100,2,1
